Size,ArrayType,Algorithm,TimeMs,Comparisons
100,Random,MergeSort,0.046559,1182
100,Random,QuickSort,0.0046916,687
100,Random,StringMergeSort,0.029068,610
100,Random,StringQuickSort,0.00335,717
100,Random,MSD,0.0294118,364
100,Random,MSD_QS,0.0066342,306
100,Reverse,MergeSort,0.0270708,1785
100,Reverse,QuickSort,0.0147588,6621
100,Reverse,StringMergeSort,0.0249702,595
100,Reverse,StringQuickSort,0.0042838,1192
100,Reverse,MSD,0.0307678,478
100,Reverse,MSD_QS,0.0137926,1548
100,NearlySorted,MergeSort,0.0308296,1083
100,NearlySorted,QuickSort,0.0177618,6153
100,NearlySorted,StringMergeSort,0.0383178,791
100,NearlySorted,StringQuickSort,0.004647,948
100,NearlySorted,MSD,0.0259942,444
100,NearlySorted,MSD_QS,0.0113658,880
100,CommonPrefix,MergeSort,0.0464804,16348
100,CommonPrefix,QuickSort,0.0079018,9202
100,CommonPrefix,StringMergeSort,0.041119,8214
100,CommonPrefix,StringQuickSort,0.008474,2234
100,CommonPrefix,MSD,0.0700564,3146
100,CommonPrefix,MSD_QS,0.06021,3111
200,Random,MergeSort,0.109602,2968
200,Random,QuickSort,0.0143986,1907
200,Random,StringMergeSort,0.0961692,1504
200,Random,StringQuickSort,0.0078062,1697
200,Random,MSD,0.0594602,798
200,Random,MSD_QS,0.0131666,722
200,Reverse,MergeSort,0.0731626,3963
200,Reverse,QuickSort,0.0497828,23697
200,Reverse,StringMergeSort,0.07188,1321
200,Reverse,StringQuickSort,0.0098182,2753
200,Reverse,MSD,0.051969,958
200,Reverse,MSD_QS,0.0212904,3498
200,NearlySorted,MergeSort,0.0660334,2596
200,NearlySorted,QuickSort,0.0519508,16735
200,NearlySorted,StringMergeSort,0.0645136,1798
200,NearlySorted,StringQuickSort,0.0074148,2164
200,NearlySorted,MSD,0.0397552,926
200,NearlySorted,MSD_QS,0.01571,1711
200,CommonPrefix,MergeSort,0.0894998,38842
200,CommonPrefix,QuickSort,0.0193816,24452
200,CommonPrefix,StringMergeSort,0.0823606,19422
200,CommonPrefix,StringQuickSort,0.0103062,4479
200,CommonPrefix,MSD,0.111651,6372
200,CommonPrefix,MSD_QS,0.0836444,6333
300,Random,MergeSort,0.137899,4980
300,Random,QuickSort,0.0187608,3149
300,Random,StringMergeSort,0.122908,2542
300,Random,StringQuickSort,0.0129156,2632
300,Random,MSD,0.0707288,1232
