Size,ArrayType,Algorithm,TimeMs,Comparisons
100,Random,MergeSort,0.0292998,1187
100,Random,QuickSort,0.0041904,735
100,Reverse,MergeSort,0.0266678,1857
100,Reverse,QuickSort,0.0150582,6982
100,NearlySorted,MergeSort,0.103403,1023
100,NearlySorted,QuickSort,0.0299408,7058
100,CommonPrefix,MergeSort,0.0451928,16118
100,CommonPrefix,QuickSort,0.008394,9386
200,Random,MergeSort,0.0772342,2940
200,Random,QuickSort,0.0103464,1653
200,Reverse,MergeSort,0.287035,4056
200,Reverse,QuickSort,0.184075,23986
200,NearlySorted,MergeSort,0.0883358,2523
200,NearlySorted,QuickSort,0.0663688,23031
200,CommonPrefix,MergeSort,0.129181,38573
200,CommonPrefix,QuickSort,0.0325808,23073
300,Random,MergeSort,0.240995,4976
300,Random,QuickSort,0.0237812,2779
300,Reverse,MergeSort,0.179453,6180
300,Reverse,QuickSort,0.105885,51064
300,NearlySorted,MergeSort,0.101838,4167
300,NearlySorted,QuickSort,0.0690234,30390
300,CommonPrefix,MergeSort,0.141669,63163
300,CommonPrefix,QuickSort,0.0322468,42225
400,Random,MergeSort,0.177578,7260
400,Random,QuickSort,0.0251864,4341
400,Reverse,MergeSort,0.152432,8667
400,Reverse,QuickSort,0.200887,87853
400,NearlySorted,MergeSort,0.226211,5919
400,NearlySorted,QuickSort,0.084541,34293
400,CommonPrefix,MergeSort,0.360936,89212
400,CommonPrefix,QuickSort,0.0929176,54149
500,Random,MergeSort,0.377754,9805
500,Random,QuickSort,0.0505076,6684
500,Reverse,MergeSort,0.242989,11433
500,Reverse,QuickSort,0.26316,135221
500,NearlySorted,MergeSort,0.185379,7335
500,NearlySorted,QuickSort,0.197438,78341
500,CommonPrefix,MergeSort,0.252501,116233
500,CommonPrefix,QuickSort,0.0574216,68546
600,Random,MergeSort,0.290023,12155
600,Random,QuickSort,0.0511204,7463
600,Reverse,MergeSort,0.24547,13320
600,Reverse,QuickSort,0.382293,192383
600,NearlySorted,MergeSort,0.257506,9583
600,NearlySorted,QuickSort,0.353186,132159
600,CommonPrefix,MergeSort,0.33165,143833
600,CommonPrefix,QuickSort,0.0726192,88121
700,Random,MergeSort,0.338274,14678
700,Random,QuickSort,0.054034,8529
700,Reverse,MergeSort,0.325844,15807
700,Reverse,QuickSort,0.514573,259169
700,NearlySorted,MergeSort,0.310166,11314
700,NearlySorted,QuickSort,0.537543,195110
700,CommonPrefix,MergeSort,0.396359,172483
700,CommonPrefix,QuickSort,0.0956974,114645
800,Random,MergeSort,0.398682,17496
800,Random,QuickSort,0.115832,10805
800,Reverse,MergeSort,0.826939,18306
800,Reverse,QuickSort,0.672536,335888
800,NearlySorted,MergeSort,0.327955,13058
800,NearlySorted,QuickSort,0.736927,268320
800,CommonPrefix,MergeSort,0.499957,203006
800,CommonPrefix,QuickSort,0.125524,131466
900,Random,MergeSort,0.551157,20258
900,Random,QuickSort,0.128078,12640
900,Reverse,MergeSort,0.637051,21075
900,Reverse,QuickSort,0.8736,422617
900,NearlySorted,MergeSort,0.43907,14412
900,NearlySorted,QuickSort,0.806731,204118
900,CommonPrefix,MergeSort,0.627403,234319
900,CommonPrefix,QuickSort,0.133102,158889
1000,Random,MergeSort,0.614444,23221
1000,Random,QuickSort,0.0908086,13962
1000,Reverse,MergeSort,0.485941,24264
1000,Reverse,QuickSort,1.15345,519809
1000,NearlySorted,MergeSort,0.462007,16272
1000,NearlySorted,QuickSort,0.909512,295542
1000,CommonPrefix,MergeSort,0.668359,264823
1000,CommonPrefix,QuickSort,0.15907,177993
1100,Random,MergeSort,0.654255,25899
1100,Random,QuickSort,0.109434,15324
1100,Reverse,MergeSort,0.631487,26094
1100,Reverse,QuickSort,1.43451,627386
1100,NearlySorted,MergeSort,0.611379,18661
1100,NearlySorted,QuickSort,1.45787,396774
1100,CommonPrefix,MergeSort,0.715931,295260
1100,CommonPrefix,QuickSort,0.16667,177609
1200,Random,MergeSort,0.704461,28913
1200,Random,QuickSort,0.117193,18128
1200,Reverse,MergeSort,0.664756,28605
1200,Reverse,QuickSort,1.60784,744389
1200,NearlySorted,MergeSort,0.625414,20641
1200,NearlySorted,QuickSort,0.822684,270943
1200,CommonPrefix,MergeSort,0.795022,325427
1200,CommonPrefix,QuickSort,0.171996,188849
1300,Random,MergeSort,0.747486,31851
1300,Random,QuickSort,0.131227,20100
1300,Reverse,MergeSort,0.916056,30804
1300,Reverse,QuickSort,2.19164,871405
1300,NearlySorted,MergeSort,0.682645,22688
1300,NearlySorted,QuickSort,1.04968,341874
1300,CommonPrefix,MergeSort,0.948252,358658
1300,CommonPrefix,QuickSort,0.478328,212196
1400,Random,MergeSort,1.18569,34870
1400,Random,QuickSort,0.168188,21105
1400,Reverse,MergeSort,1.28417,33537
1400,Reverse,QuickSort,3.82209,1008445
1400,NearlySorted,MergeSort,0.916041,25019
1400,NearlySorted,QuickSort,0.608086,217853
1400,CommonPrefix,MergeSort,1.24964,389559
1400,CommonPrefix,QuickSort,0.311978,280465
1500,Random,MergeSort,0.933623,38242
1500,Random,QuickSort,0.152792,26415
1500,Reverse,MergeSort,0.814937,36768
1500,Reverse,QuickSort,2.82784,1155369
1500,NearlySorted,MergeSort,0.871537,27129
1500,NearlySorted,QuickSort,0.457267,198295
1500,CommonPrefix,MergeSort,1.18515,423633
1500,CommonPrefix,QuickSort,0.26299,271823
1600,Random,MergeSort,1.10851,41183
1600,Random,QuickSort,0.166239,23854
1600,Reverse,MergeSort,1.17579,39132
1600,Reverse,QuickSort,2.92881,1312060
1600,NearlySorted,MergeSort,0.849467,28909
1600,NearlySorted,QuickSort,1.25849,402320
1600,CommonPrefix,MergeSort,1.42911,456629
1600,CommonPrefix,QuickSort,0.271219,320119
1700,Random,MergeSort,1.09831,44286
1700,Random,QuickSort,0.174801,27384
1700,Reverse,MergeSort,0.93737,41523
1700,Reverse,QuickSort,3.7215,1478997
1700,NearlySorted,MergeSort,1.06594,30893
1700,NearlySorted,QuickSort,0.315308,114348
1700,CommonPrefix,MergeSort,1.4846,488277
1700,CommonPrefix,QuickSort,0.305512,328363
1800,Random,MergeSort,1.22676,47644
1800,Random,QuickSort,0.18687,29218
1800,Reverse,MergeSort,1.05324,44838
1800,Reverse,QuickSort,4.59438,1656145
1800,NearlySorted,MergeSort,1.01646,32964
1800,NearlySorted,QuickSort,0.421858,155967
1800,CommonPrefix,MergeSort,1.51437,526323
1800,CommonPrefix,QuickSort,0.325987,346379
1900,Random,MergeSort,1.27409,50809
1900,Random,QuickSort,0.209647,31873
1900,Reverse,MergeSort,1.22617,47784
1900,Reverse,QuickSort,4.44922,1843081
1900,NearlySorted,MergeSort,1.10315,34472
1900,NearlySorted,QuickSort,0.823859,288791
1900,CommonPrefix,MergeSort,1.4802,558668
1900,CommonPrefix,QuickSort,0.431613,352684
2000,Random,MergeSort,1.37224,54404
2000,Random,QuickSort,0.227151,37704
2000,Reverse,MergeSort,1.25516,51375
2000,Reverse,QuickSort,5.53148,2040288
2000,NearlySorted,MergeSort,1.12659,35582
2000,NearlySorted,QuickSort,1.79615,483638
2000,CommonPrefix,MergeSort,1.64661,595220
2000,CommonPrefix,QuickSort,0.341716,381332
2100,Random,MergeSort,1.34659,57681
2100,Random,QuickSort,0.231755,35350
2100,Reverse,MergeSort,1.38128,54021
2100,Reverse,QuickSort,5.58299,2247051
2100,NearlySorted,MergeSort,1.13905,38739
2100,NearlySorted,QuickSort,2.0304,682544
2100,CommonPrefix,MergeSort,1.56692,628407
2100,CommonPrefix,QuickSort,0.443793,450349
2200,Random,MergeSort,1.45924,60590
2200,Random,QuickSort,0.223867,35711
2200,Reverse,MergeSort,1.3289,55332
2200,Reverse,QuickSort,5.63358,2463732
2200,NearlySorted,MergeSort,1.37762,40903
2200,NearlySorted,QuickSort,0.464288,227252
2200,CommonPrefix,MergeSort,1.74563,661242
2200,CommonPrefix,QuickSort,0.377298,431239
2300,Random,MergeSort,1.53493,64271
2300,Random,QuickSort,0.234297,40225
2300,Reverse,MergeSort,1.35473,58332
2300,Reverse,QuickSort,7.02731,2690383
2300,NearlySorted,MergeSort,1.26961,43398
2300,NearlySorted,QuickSort,1.59884,443962
2300,CommonPrefix,MergeSort,1.82352,697485
2300,CommonPrefix,QuickSort,0.468037,494983
2400,Random,MergeSort,1.54967,67422
2400,Random,QuickSort,0.255898,42263
2400,Reverse,MergeSort,1.50308,60834
2400,Reverse,QuickSort,6.91503,2927767
2400,NearlySorted,MergeSort,1.66741,43742
2400,NearlySorted,QuickSort,2.12844,679371
2400,CommonPrefix,MergeSort,1.88537,729665
2400,CommonPrefix,QuickSort,0.41648,474580
2500,Random,MergeSort,2.04226,71103
2500,Random,QuickSort,0.275766,47558
2500,Reverse,MergeSort,1.49006,63348
2500,Reverse,QuickSort,8.76647,3174696
2500,NearlySorted,MergeSort,1.8038,46040
2500,NearlySorted,QuickSort,0.979848,353808
2500,CommonPrefix,MergeSort,1.98861,767859
2500,CommonPrefix,QuickSort,0.429026,468775
2600,Random,MergeSort,1.79297,74323
2600,Random,QuickSort,0.277124,45281
2600,Reverse,MergeSort,1.54326,65847
2600,Reverse,QuickSort,9.16313,3431554
2600,NearlySorted,MergeSort,1.96625,47212
2600,NearlySorted,QuickSort,1.3828,469979
2600,CommonPrefix,MergeSort,2.1882,800758
2600,CommonPrefix,QuickSort,0.484999,577833
2700,Random,MergeSort,1.90365,77851
2700,Random,QuickSort,0.313416,50766
2700,Reverse,MergeSort,1.7579,68469
2700,Reverse,QuickSort,8.81794,3698966
2700,NearlySorted,MergeSort,1.67606,49862
2700,NearlySorted,QuickSort,0.88634,296007
2700,CommonPrefix,MergeSort,2.29813,835141
2700,CommonPrefix,QuickSort,0.581118,537886
2800,Random,MergeSort,2.03165,81450
2800,Random,QuickSort,0.334394,54408
2800,Reverse,MergeSort,2.14601,71325
2800,Reverse,QuickSort,9.58285,3976201
2800,NearlySorted,MergeSort,1.66023,50863
2800,NearlySorted,QuickSort,0.419636,158214
2800,CommonPrefix,MergeSort,2.47068,869881
2800,CommonPrefix,QuickSort,0.545002,572190
2900,Random,MergeSort,2.09788,84930
2900,Random,QuickSort,0.312263,53885
2900,Reverse,MergeSort,1.87936,74088
2900,Reverse,QuickSort,10.152,4263149
2900,NearlySorted,MergeSort,2.01204,52690
2900,NearlySorted,QuickSort,0.893297,342957
2900,CommonPrefix,MergeSort,2.36031,905860
2900,CommonPrefix,QuickSort,0.500208,551820
3000,Random,MergeSort,2.12972,88870
3000,Random,QuickSort,0.339866,53049
3000,Reverse,MergeSort,2.08959,77664
3000,Reverse,QuickSort,10.8672,4560438
3000,NearlySorted,MergeSort,1.95243,53656
3000,NearlySorted,QuickSort,0.461541,196243
3000,CommonPrefix,MergeSort,2.78823,944894
3000,CommonPrefix,QuickSort,0.52538,570313
